date,event,btc_price
1/12/2016,,433.5221854
1/13/2016,,431.997844
1/14/2016,,430.4217062
1/15/2016,,359.5813341
1/16/2016,,388.5179542
1/17/2016,,380.8509574
1/18/2016,,386.3585356
1/19/2016,,378.6179047
1/20/2016,,419.1901089
1/21/2016,,410.9622642
1/22/2016,,382.6221608
1/23/2016,,386.5420151
1/24/2016,,403.0399776
1/25/2016,,391.4979637
1/26/2016,,392.1750462
1/27/2016,,395.1428714
1/28/2016,,379.2706701
1/29/2016,,378.2313217
1/30/2016,,377.7573923
1/31/2016,,367.3900813
2/1/2016,,371.7580666
2/2/2016,,373.6929884
2/3/2016,,369.8952713
2/4/2016,,389.6501858
2/5/2016,,386.2620911
2/6/2016,,374.754246
2/7/2016,,375.0729111
2/8/2016,,371.8638616
2/9/2016,,374.5736776
2/10/2016,,380.6468099
2/11/2016,,378.2526603
2/12/2016,,384.4179982
2/13/2016,,393.0649295
2/14/2016,,408.2433591
2/15/2016,,400.3039154
2/16/2016,,407.9715124
2/17/2016,,415.6570386
2/18/2016,,422.5639121
2/19/2016,,421.2113989
2/20/2016,,438.5430149
2/21/2016,,440.6873693
2/22/2016,,440.390577
2/23/2016,,421.6255085
2/24/2016,,426.3248529
2/25/2016,,425.3360165
2/26/2016,,434.7513042
2/27/2016,,434.4027559
2/28/2016,,434.676264
2/29/2016,,438.6811502
3/1/2016,,434.9957301
3/2/2016,,423.1278119
3/3/2016,,421.4260316
3/4/2016,,409.9300062
3/5/2016,,398.5572338
3/6/2016,,405.5978409
3/7/2016,,413.9217722
3/8/2016,,412.7872924
3/9/2016,,413.9700071
3/10/2016,,417.0862008
3/11/2016,,420.7750114
3/12/2016,,410.3496141
3/13/2016,,413.0864154
3/14/2016,,416.8115317
3/15/2016,,417.2783882
3/16/2016,,418.3840741
3/17/2016,,420.4282907
3/18/2016,,409.5247149
3/19/2016,,410.8257261
3/20/2016,,413.2678288
3/21/2016,,412.7484331
3/22/2016,,418.3370211
3/23/2016,,419.3615049
3/24/2016,,416.0903269
3/25/2016,,417.9743868
3/26/2016,,418.4413417
3/27/2016,,427.5139793
3/28/2016,,424.9904773
3/29/2016,,417.7326586
3/30/2016,,415.4905156
3/31/2016,,417.3456455
4/1/2016,,418.7260679
4/2/2016,,421.6930952
4/3/2016,,422.0694469
4/4/2016,,421.8178275
4/5/2016,,424.6300665
4/6/2016,,424.0184813
4/7/2016,,423.5537458
4/8/2016,,421.0641383
4/9/2016,,420.3566964
4/10/2016,,423.3812742
4/11/2016,,424.8579205
4/12/2016,,427.5311515
4/13/2016,,425.7557594
4/14/2016,,426.1630332
4/15/2016,,431.2534059
4/16/2016,,432.4551393
4/17/2016,,429.6438238
